HA10820,"HA10820 Argyfwng, Gwrthryfel A Ffydd Yn Ewrop C.1000-1540",5,C,Sports Cage,Thursday,8/1/2015,14:00,2 Hours,History & Welsh History
HA37430,"HA37430 Diwylliant, Cymdeithas A'R Fictoriaid: Bywydau Cyhoeddus A Phreifat*",3,A,Arts Centre - Great Hall,Thursday,8/1/2015,14:00,3 Hours,History & Welsh History
HY12020,HY12020 Russia Since 1900,73,C,Sports Cage,Thursday,8/1/2015,14:00,2 Hours,History & Welsh History
IP12320,IP12320 World Politics In The Age Of The Two World Wars*,130,B,Penbryn - MedRus Main,Thursday,8/1/2015,14:00,2 Hours,International Politics
IP33820,IP33820 European Politics*,49,C,Sports Cage,Thursday,8/1/2015,14:00,2 Hours,International Politics
LA36420,LA36420 Family And Child Law,64,D,Padarn 1.00,Thursday,8/1/2015,14:00,1.5 Hours,Law & Criminology
MMM7320,MMM7320 Markets Consumption And Strategy,42,A,Arts Centre - Great Hall,Thursday,8/1/2015,14:00,3 Hours,Management & Business
PH32510,PH32510 Electromagnetism,1,C,Sports Cage,Thursday,8/1/2015,14:00,2 Hours,Physics
PH38410,PH38410 The Solar Atmosphere & Heliosphere,38,C,Sports Cage,Thursday,8/1/2015,14:00,2 Hours,Physics
SS13210,SS13210 Foundations Of Sport Psychology,53,A,Arts Centre - Great Hall,Thursday,8/1/2015,14:00,2 Hours,Sport and Exercise Science
AC10510,AC10510 Introduction To Management Accounting,91,C,Sports Cage,Friday,9/1/2015,9:30,2 Hours,Management & Business
BR10210,BR10210 Agricultural Technology,31,C,Sports Cage,Friday,9/1/2015,9:30,1.5 Hours,"Biological, Environmental and Rural Sciences"
BR10510,BR10510 Chemical Basis Of Biology,41,B,Penbryn - MedRus Main,Friday,9/1/2015,9:30,1.5 Hours,"Biological, Environmental and Rural Sciences"
BR22620,BR22620 Marine Biology,89,C,Sports Cage,Friday,9/1/2015,9:30,2 Hours,"Biological, Environmental and Rural Sciences"
BR33920,BR33920 Population And Community Ecology,97,A,Arts Centre - Great Hall,Friday,9/1/2015,9:30,3 Hours,"Biological, Environmental and Rural Sciences"
EA12210,EA12210 The Atmosphere And The Water Cycle,180,PC,Llandinam B23 & Physical Sciences 112,Friday,9/1/2015,9:30,1.5 Hours,Geography & Earth Sciences
EC31120,EC31120 Advanced Topics In Macroeconomics,38,A,Arts Centre - Great Hall,Friday,9/1/2015,9:30,3 Hours,Management & Business
GG37920,GG37920 Geographies Of Memory,48,C,Sports Cage,Friday,9/1/2015,9:30,2 Hours,Geography & Earth Sciences
MA30210,MA30210 Norms And Differential Equations,64,A,Arts Centre - Great Hall,Friday,9/1/2015,9:30,2 Hours,Mathematics
MM30120,MM30120 Marketing Management,119,B,Penbryn - MedRus Main,Friday,9/1/2015,9:30,2 Hours,Management & Business
TP32820,"TP32820 Place, Space And Landscape",12,,Departmental Room,Friday,9/1/2015,9:30,7 Hours,"Theatre, Film & Television Studies"
